duration_ms,danceability,speechiness,popularity
176187,0.795,0.0859,65
216786,0.4,0.253,65
85754,0.827,0.23,63
270927,0.431,0.0636,62
234000,0.476,0.126,58
221333,0.657,0.0485,59
257653,0.512,0.0508,67
329800,0.626,0.0351,59
230000,0.734,0.382,61
212291,0.6,0.0732,58
263640,0.53,0.332,57
223256,0.652,0.057,43
243601,0.769,0.0387,66
235595,0.577,0.0735,64
190027,0.683,0.14,56
218593,0.559,0.216,61
259570,0.379,0.0331,73
265813,0.668,0.0374,58
274769,0.551,0.4,59
216333,0.71,0.0588,59
207113,0.726,0.0794,62
230713,0.573,0.331,66
272331,0.805,0.0514,59
172357,0.622,0.043,60
276785,0.944,0.195,66
192632,0.704,0.0719,66
176387,0.591,0.0306,57
250960,0.476,0.245,64
290600,0.588,0.0383,63
302492,0.73,0.0405,60
233160,0.367,0.0421,66
250107,0.707,0.051,66
186000,0.57,0.0552,57
60000,0.832,0.0392,58
184000,0.71,0.0506,57
214009,0.561,0.136,60
243093,0.551,0.0339,59
250667,0.729,0.225,62
158478,0.201,0.0499,61
270333,0.625,0.0271,70
253698,0.494,0.171,57
135800,0.735,0.21,56
233995,0.606,0.0614,59
198857,0.594,0.0466,56
187240,0.467,0.22,58
188500,0.898,0.362,63
298853,0.64,0.322,71
221968,0.745,0.227,64
199747,0.621,0.0457,60
223280,0.699,0.0472,57
602297,0.355,0.0581,59
193067,0.585,0.1,69
241452,0.654,0.0928,62
209600,0.651,0.222,62
224972,0.417,0.272,59
249680,0.645,0.2,64
239768,0.413,0.0756,61
160500,0.785,0.0892,58
196467,0.461,0.0724,62
221972,0.813,0.0746,64
253733,0.701,0.0614,67
203600,0.847,0.106,66
208854,0.573,0.0357,60
262651,0.554,0.0662,66
153240,0.566,0.0311,63
227291,0.828,0.164,58
253067,0.669,0.49,67
223000,0.826,0.0491,65
196640,0.804,0.0485,63
167813,0.803,0.125,61
133667,0.837,0.0729,58
230907,0.671,0.046,66
366733,0.263,0.19,62
201000,0.606,0.0297,60
218235,0.757,0.233,73
245680,0.671,0.05,68
272340,0.424,0.054,62
242307,0.364,0.164,55
234173,0.584,0.0506,72
157840,0.514,0.0321,57
259000,0.598,0.0405,57
256675,0.606,0.0373,56
281880,0.744,0.0651,62
193202,0.754,0.0952,58
202864,0.605,0.0456,57
132760,0.475,0.117,59
459387,0.438,0.337,61
162880,0.521,0.419,57
225345,0.759,0.0359,56
255773,0.916,0.0634,60
223093,0.559,0.0375,57
162377,0.794,0.131,72
245027,0.673,0.0432,61
269173,0.734,0.0826,62
163290,0.651,0.0839,64
245400,0.605,0.197,63
187220,0.726,0.0877,64
183287,0.563,0.4,57
224387,0.505,0.0371,59
331280,0.678,0.196,55
183746,0.878,0.135,61
212815,0.535,0.161,67
213760,0.633,0.134,58
203000,0.707,0.0521,65
262627,0.465,0.106,57
232195,0.62,0.0447,64
224147,0.564,0.211,60
204133,0.398,0.0486,68
281147,0.666,0.0527,63
225539,0.6,0.0893,60
182594,0.558,0.0382,60
218697,0.79,0.0656,58
176944,0.822,0.17,64
187120,0.619,0.0335,59
177480,0.655,0.0354,62
185085,0.792,0.0808,63
